"","Indicator","Current Citywide","Possible Citywide","Total Benefits"
"1","Median Earnings","31565.6339929742","32514.857078044","949.223085069774"
"2","Bachelor's Degrees","32.1361402927368","33.8977757574931","7175.1060152431"
"3","Uninsured","12.1726681160103","11.3716275731075","5950.64982903489"
"4","Life Expectancy","77.79947083252","78.3600803346461","416457.177796904"
"5","Low Income","26.2478784243258","23.7106990637883","18847.8174566575"
"6","Unemployment","9.7952370330396","8.7535594425694","6224.5236083029"
"7","No High School Diploma","9.83756083639623","8.77251506213173","4337.91013766381"
"8","Low Income Children","34.5424243703847","31.4627741031557","5182.00431865543"
