"","Neighborhood","median_earnings","bachelors_degree","no_hs_degree","uninsured","population","low_income","unemployed","percent_black","child_li_nh","child_low_income","z_low_income","z_unemployed","z_no_hs_degree","z_uninsured","z_overall","abbr","sc_abbr","life_expectancy"
"11","South Louisville",25792.5454958537,16.6799736175235,16.7389870517583,15.2662865568019,53581,33.9348764221263,11.7770309477756,16.4506184303384,0.469535359438925,46.9535359438925,-0.0782231010909036,-0.120411269310117,0.47473408951171,0.146416076994201,0.105628949026223,"S Louisville","SL",76.2
"12","Shively",26205.8835195531,10.9006250797296,12.6738104350045,15.2452825758846,29815,33.5576142818501,12.4899147247551,47.0122964440013,0.497748074967311,49.7748074967311,-0.0969707349179921,-0.0248659656551231,-0.0206689004582057,0.142626297684904,0.0000301741633957145,"Shively","Sh",74.5
"13","Valley Station",28456.7782996063,12.4588045234249,12.5492730210016,14.4404617337313,29151,24.4071996420828,8.63239099185434,4.19611458226638,0.366555764501664,36.6555764501664,-0.551690688812137,-0.541876295134035,-0.0358456598161794,-0.00258871595008505,-0.283000339928109,"Valley Station","VS",76.2
"14","Germantown",26234.102802497,36.5463342017119,10.44535417442,11.0384544263811,12979,36.2309889600865,8.82365829858955,8.1327114053566,0.423419412288513,42.3419412288513,0.0358797268683274,-0.516241411171998,-0.292239855078198,-0.616417920722407,-0.347254865026069,"Germantown","G",72.5
"15","Highview-Okolona",31084.6791756016,22.5266498981914,9.92933285423404,11.3601425332038,61740,21.202825955718,9.008040926625,13.9224771160583,0.293075356415479,29.3075356415479,-0.710928571715382,-0.491529256465666,-0.355124823926737,-0.558375260329216,-0.52898947810925,"Highview Okolona","H - O",77.8
"16","Pleasure Ridge Park",28946.3740444203,14.9674998909392,8.21445709549361,11.3957783889241,42543,21.9872448374784,9.98186405461561,12.7455341465128,0.302072430395646,30.2072430395646,-0.671947724203008,-0.361011169963057,-0.564108260170484,-0.551945430231272,-0.537253146141955,"Pleasure Ridge Park","PRP",77
"17","Butchertown-Clifton-Crescent Hill",32502.2303191489,53.0103003046569,4.9035253155375,11.1637389164848,21541,26.1168224299065,6.53268053855569,8.24116047144152,0.315333525844643,31.5333525844643,-0.466732834347593,-0.823293097320217,-0.967595158283776,-0.593812655070994,-0.712858436255645,"B-C-CH","B - C - CH",76.4
"18","Southeast Louisville",32831.5885298284,41.6232390814645,5.77951114547961,10.0015991451574,54279,21.8540559821278,6.39675337635553,11.571787775185,0.328235186372378,32.8235186372378,-0.678566400246498,-0.841510936478238,-0.860843093063265,-0.80349925101891,-0.796104920201728,"SE Louisville","SEL",79
"19","Fern Creek",32041.0488746401,28.9974920355182,6.15468040398563,8.73233899058771,26986,17.5704827791416,6.92953306470728,12.2507122507123,0.277244582043344,27.7244582043344,-0.891433935330527,-0.770104349950961,-0.815123069081355,-1.0325137359806,-0.877293772585862,"Fern Creek","FC",80.7
"20","J-Town",37369.0286828366,45.3325574230651,6.21983363571013,9.34481768040447,52216,13.596155318986,5.78302879933219,13.3075795923804,0.177167219327333,17.7167219327333,-1.08893383785824,-0.923766281551005,-0.807183166625581,-0.922003301068267,-0.935471646775772,"J-Town","JT",82
"21","St. Matthews",39653.9798604504,59.4156392501267,2.09424083769634,8.58302606177606,20720,14.6788544756163,4.4441990208357,3.45274061286146,0.201376936316695,20.1376936316695,-1.03513027485416,-1.1032049247907,-1.30994877811492,-1.05945448832898,-1.12693461652219,"St. Matthews","StM",83.6
"22","Highlands",38280.9913817664,69.2066805845512,1.39714148064879,7.21589107204412,20307,12.4158037599276,4.34606162464986,1.78571428571429,0.0765519459633323,7.65519459633323,-1.14759013133168,-1.1163579346098,-1.39490083268598,-1.3061286744045,-1.24124439325799,"Highlands","H",80.3
"23","Northeast Jefferson",43609.6706146017,59.011451720948,2.75606877412358,6.46761013507548,113270,10.4084391317024,4.84214219457631,8.28567443158042,0.123367311344522,12.3367311344522,-1.24734394436966,-1.04987000176359,-1.22929507731373,-1.44114210941193,-1.24191278321473,"NE Jefferson","NEJ",82.4
"24","Floyd's Fork",44215.1664371976,44.3194164209219,3.41455843551141,6.12948867257026,45509,7.99542364304416,5.40691906736913,7.06995650938654,0.0844074471894021,8.44074471894021,-1.36725613796359,-0.97417494521883,-1.14904819559858,-1.50214986445044,-1.24815728580786,"Floyd's Fork","FF",81.5
