"","Neighborhood","median_earnings","bachelors_degree","no_hs_degree","uninsured","population","low_income","unemployed","percent_black","child_li_nh","child_low_income","z_low_income","z_unemployed","z_no_hs_degree","z_uninsured","z_overall","abbr","sc_abbr","life_expectancy"
"1","Russell",14207.9906939644,5.19857206604195,24.3418116912093,21.7188933200399,10030,73.5935935935936,31.7193361356718,89.7015511486354,0.851713216239562,85.1713216239562,1.89257393419722,2.55238570866465,1.40125276598896,1.31066944871078,1.7892204643904,"Russell","R",69.5
"2","Portland",17086.0665734266,3.55301914580265,32.1428571428571,23.4279835390947,9720,62.8716988978998,22.6697251361041,32.2882122399759,0.811085089773614,81.1085089773614,1.35976097941644,1.33949819623342,2.35192763352366,1.61904312203592,1.66755748280236,"Portland","P",68.3
"3","Phoenix Hill-Smoketown-Shelby Park",18342.6397616468,15.8893420819294,23.4084057456996,20.5778693149757,8861,68.6910042078926,24.0344017384218,60.3112011083875,0.840193704600484,84.0193704600484,1.64894505974825,1.52240099830274,1.28750319497267,1.10479280166731,1.39091051367274,"PH","PH - S - SP",69.4
"4","South Central Louisville",21228.5376148379,8.7972800679983,21.5186287009491,24.1106081822655,26423,51.9009893483947,21.247905027933,40.1170252925632,0.681842892090242,68.1842892090242,0.814583439717116,1.14893665118947,1.05720540311597,1.7422100949493,1.19073389724296,"SC Louisville","SCL",71.5
"5","California-Parkland",15837.4580759047,9.52059419311276,15.9351789331533,19.4602299104676,9047,63.4376387039503,20.6368941031182,89.8555482600131,0.760953382404487,76.0953382404487,1.38788474567679,1.0670450073716,0.376777965372389,0.903135472651806,0.933710797768147,"C-P","C - P",67.8
"6","Algonquin-Park Hill-Park Duvalle",14674.362329919,10.4525498142519,21.0739614994934,16.5662471878515,14224,60.5801912892261,18.5533431707092,77.7902176194808,0.767123287671233,76.7123287671233,1.24588698843512,0.787794008897294,1.00301600818665,0.380969894285696,0.85441672495119,"A-PH-PD","A - PH - PD",71.5
"7","Buechel-Newburg-Indian Trail",21477.9988931251,14.1589693728731,18.1392805055907,19.2519740535146,32066,41.5265403438324,14.6662891537639,42.3800812377911,0.564784488405607,56.4784488405607,0.299036422587444,0.266825839378868,0.64538093447409,0.865559560693472,0.519200689283469,"Buechel Newburg Indian Trail ","B - N - IT",75.6
"8","Chickasaw-Shawnee",22131.9972738538,11.8635590677203,13.0839251775533,18.1822189922481,18576,43.677663601947,19.7926558321333,88.6903159821284,0.581662536607344,58.1662536607344,0.405934165177105,0.953894723183355,0.0293097570131784,0.672542074475937,0.515420179962394,"C-S","C - S",73.4
"9","Downtown-Old Louisville-University",15620.3302809573,28.1628810168295,14.8758385312463,18.6776450156304,14395,52.2383451682618,13.4695678151763,31.6757954335651,0.53852140077821,53.852140077821,0.831347972133956,0.106433490193662,0.247681384343712,0.76193252384366,0.486848842628748,"OL","D - OL - U",73.2
"10","Fairdale",27361.329933927,8.4684217351835,20.451303332901,18.5568319226119,14886,37.7409354360426,12.0263435100875,0.812026038520905,0.55379188712522,55.379188712522,0.110914883083593,-0.0869967840317191,0.927135733714005,0.740134038974608,0.422796967935122,"Fairdale","F",74.8
