GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",2561,385,599,286,505,228,105,123,292,194,364,195,88,94,608,182
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",2299,357,330,171,435,234,177,144,136,106,493,255,0,11,728,197
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",5109,436,605,223,737,242,238,162,268,203,569,264,85,75,2607,380
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",1613,254,209,125,541,239,128,63,99,75,154,108,81,80,401,125
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",2881,385,764,269,280,133,154,166,247,181,158,134,97,61,1181,244
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",2239,257,282,146,253,123,264,201,181,99,297,124,13,17,949,173
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",2057,262,175,77,287,128,367,229,171,92,32,32,32,36,993,336
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",2596,505,602,335,522,286,372,216,313,308,127,104,58,58,602,212
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",3316,359,230,130,563,187,168,129,337,217,257,175,65,67,1696,398
1400000US21111001200,21111001200,"Census Tract 12, Jefferson County, Kentucky",2888,345,355,236,539,254,317,242,294,209,214,180,110,156,1059,217
1400000US21111001400,21111001400,"Census Tract 14, Jefferson County, Kentucky",2502,222,367,206,535,164,232,152,161,122,205,109,74,74,928,273
1400000US21111001500,21111001500,"Census Tract 15, Jefferson County, Kentucky",2815,403,335,199,536,319,193,130,234,181,290,201,214,207,1013,294
1400000US21111001600,21111001600,"Census Tract 16, Jefferson County, Kentucky",2459,304,646,268,356,149,126,96,355,167,122,72,91,70,763,190
1400000US21111001700,21111001700,"Census Tract 17, Jefferson County, Kentucky",2126,318,242,155,444,276,262,155,81,54,230,129,26,43,841,243
1400000US21111001800,21111001800,"Census Tract 18, Jefferson County, Kentucky",1540,206,369,168,344,187,242,141,120,91,106,85,24,25,335,104
1400000US21111002100,21111002100,"Census Tract 21, Jefferson County, Kentucky",2240,340,301,135,903,296,177,93,252,140,48,38,49,56,510,156
